"catégorie du classeur";"dépôt initial";"type détecté";"nom du skill ou plugin";"déjà installé";"version installée";"version disponible";"dépôt officiel";"alternative recommandée";"dernière activité";"licence";"compatibilité Codex";"compatibilité Windows";"niveau de risque";"décision";"justification";"commande d’installation";"commande de désinstallation ou retour arrière"
"Skills & agents IA";"punkpeye/awesome-mcp-servers";"DOCUMENTATION";"Catalogue de serveurs MCP";"non détecté";"—";"commit 79cca3e78c9f";"https://github.com/punkpeye/awesome-mcp-servers";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-13";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"A — faible risque";"CONSERVER_COMME_REFERENCE";"Catalogue ou collection de référence; aucune structure installable unique.";"";""
"Skills & agents IA";"modelcontextprotocol/servers";"SERVEUR_MCP";"Serveurs MCP de référence";"non détecté";"—";"commit d31124c98240";"https://github.com/modelcontextprotocol/servers";"Configurer uniquement un serveur officiel ciblé et en lecture seule";"2026-07-06";"Non vérifiée — hors candidat à l'installation Codex";"Oui via MCP, permissions à limiter";"À vérifier par serveur";"B — risque maîtrisable";"NE_PAS_INSTALLER_COMME_SKILL";"SERVEUR_MCP: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"modelcontextprotocol/python-sdk";"BIBLIOTHEQUE";"SDK MCP Python";"non détecté";"—";"commit 2713b53b127a";"https://github.com/modelcontextprotocol/python-sdk";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"modelcontextprotocol/typescript-sdk";"BIBLIOTHEQUE";"SDK MCP TypeScript";"non détecté";"—";"commit e81758caed29";"https://github.com/modelcontextprotocol/typescript-sdk";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-13";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"openai/openai-agents-python";"BIBLIOTHEQUE";"SDK Agents OpenAI";"non détecté";"—";"commit 7369b73c76ef";"https://github.com/openai/openai-agents-python";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"openai/codex";"APPLICATION";"Agent de développement Codex";"oui";"CLI 0.137.0; app 26.707.3748.0";"commit 1bbdb32789e1";"https://github.com/openai/codex";"Codex reste l'unique agent autorisé à écrire sur PLL-process/synthese-app";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"anthropics/claude-code";"APPLICATION";"Agent de programmation Claude";"non détecté";"—";"commit b7784f2c63ed";"https://github.com/anthropics/claude-code";"Codex reste l'unique agent autorisé à écrire sur PLL-process/synthese-app";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"langchain-ai/langchain";"BIBLIOTHEQUE";"Cadre général pour applications LLM";"non détecté";"—";"commit 22869321b20a";"https://github.com/langchain-ai/langchain";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"langchain-ai/langgraph";"BIBLIOTHEQUE";"Orchestration d’agents avec graphes";"non détecté";"—";"commit 49ae27c2ae98";"https://github.com/langchain-ai/langgraph";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"crewAIInc/crewAI";"BIBLIOTHEQUE";"Équipes d’agents collaboratifs";"non détecté";"—";"commit 0e5d0ecfb924";"https://github.com/crewAIInc/crewAI";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"microsoft/autogen";"BIBLIOTHEQUE";"Framework multi-agents Microsoft";"non détecté";"—";"commit 027ecf0a379b";"https://github.com/microsoft/autogen";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-04-06";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"microsoft/semantic-kernel";"BIBLIOTHEQUE";"Orchestration IA Microsoft";"non détecté";"—";"commit c781da134e38";"https://github.com/microsoft/semantic-kernel";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-09";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"run-llama/llama_index";"BIBLIOTHEQUE";"RAG et indexation documentaire";"non détecté";"—";"commit 67514f63410c";"https://github.com/run-llama/llama_index";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-08";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"pydantic/pydantic-ai";"BIBLIOTHEQUE";"Agents Python typés";"non détecté";"—";"commit 806fa7acbe24";"https://github.com/pydantic/pydantic-ai";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"Agenta-AI/agenta";"APPLICATION";"Évaluation et suivi des prompts";"non détecté";"—";"commit e723777bf72e";"https://github.com/Agenta-AI/agenta";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"Doriandarko/maestro";"ABANDONNE";"Orchestration de tâches agentiques";"non détecté";"—";"commit d552e010c0c0";"https://github.com/Doriandarko/maestro";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2024-07-01";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"D — refusé";"REFUSE_ABANDONNE";"Aucune activité pertinente détectée depuis plus de 18 mois; à traiter comme miroir ou projet potentiellement abandonné.";"";""
"Skills & agents IA";"browser-use/browser-use";"BIBLIOTHEQUE";"Agent contrôlant un navigateur";"non; alternatives installées";"browser/chrome plugins";"commit dbc4d46e0ca5";"https://github.com/browser-use/browser-use";"Plugins Browser et Chrome installés";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"microsoft/playwright-mcp";"SERVEUR_MCP";"Navigation web par MCP";"non; alternatives installées";"browser/chrome plugins";"commit 55679f5f3d4b";"https://github.com/microsoft/playwright-mcp";"Plugins Browser et Chrome installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Oui via MCP, permissions à limiter";"À vérifier par serveur";"B — risque maîtrisable";"NE_PAS_INSTALLER_COMME_SKILL";"SERVEUR_MCP: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"github/github-mcp-server";"SERVEUR_MCP";"Serveur MCP officiel GitHub";"non; alternative installée";"GitHub plugin d6169bef";"commit c36e4e4493c7";"https://github.com/github/github-mcp-server";"GitHub plugin officiel installé (lecture seule pendant l'audit)";"2026-07-10";"Non vérifiée — hors candidat à l'installation Codex";"Oui via MCP, permissions à limiter";"À vérifier par serveur";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"SERVEUR_MCP: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"firecrawl/firecrawl-mcp-server";"SERVEUR_MCP";"Extraction web pour agents";"non détecté";"—";"commit 3eb1115b1f28";"https://github.com/firecrawl/firecrawl-mcp-server";"Browser + recherche web contrôlée";"2026-07-08";"Non vérifiée — hors candidat à l'installation Codex";"Oui via MCP, permissions à limiter";"À vérifier par serveur";"B — risque maîtrisable";"NE_PAS_INSTALLER_COMME_SKILL";"SERVEUR_MCP: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"awslabs/mcp";"SERVEUR_MCP";"Serveurs MCP AWS";"non détecté";"—";"commit a024ce485007";"https://github.com/awslabs/mcp";"Configurer uniquement un serveur officiel ciblé et en lecture seule";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Oui via MCP, permissions à limiter";"À vérifier par serveur";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"SERVEUR_MCP: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"Azure/azure-mcp";"ABANDONNE";"Serveur MCP Azure";"non détecté";"—";"commit 54f04ab1ade2";"https://github.com/Azure/azure-mcp";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-01-21";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"D — refusé";"REFUSE_ABANDONNE";"Dépôt archivé ou README annonçant son remplacement; voir alternative recommandée.";"";""
"Skills & agents IA";"googleapis/genai-toolbox";"SERVEUR_MCP";"Boîte à outils bases de données pour agents";"non détecté";"—";"non vérifiable automatiquement";"https://github.com/googleapis/mcp-toolbox";"Configurer uniquement un serveur officiel ciblé et en lecture seule";"non vérifiable";"Non vérifiée — hors candidat à l'installation Codex";"Oui via MCP, permissions à limiter";"À vérifier par serveur";"B — risque maîtrisable";"NE_PAS_INSTALLER_COMME_SKILL";"SERVEUR_MCP: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"upstash/context7";"SERVEUR_MCP";"Documentation actualisée pour agents";"non détecté";"—";"commit eb7ac502f6e8";"https://github.com/upstash/context7";"Configurer uniquement un serveur officiel ciblé et en lecture seule";"2026-07-13";"Non vérifiée — hors candidat à l'installation Codex";"Oui via MCP, permissions à limiter";"À vérifier par serveur";"B — risque maîtrisable";"NE_PAS_INSTALLER_COMME_SKILL";"SERVEUR_MCP: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"mem0ai/mem0";"BIBLIOTHEQUE";"Mémoire persistante pour agents";"non détecté";"—";"commit 633b0353422f";"https://github.com/mem0ai/mem0";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"letta-ai/letta";"APPLICATION";"Agents à mémoire longue";"non détecté";"—";"commit b76da9092518";"https://github.com/letta-ai/letta";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-03";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"Significant-Gravitas/AutoGPT";"APPLICATION";"Plateforme d’agents autonomes";"non détecté";"—";"commit 457302975b19";"https://github.com/Significant-Gravitas/AutoGPT";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-13";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"All-Hands-AI/OpenHands";"APPLICATION";"Agent développeur autonome";"non détecté";"—";"non vérifiable automatiquement";"https://github.com/OpenHands/OpenHands";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"non vérifiable";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"smol-ai/developer";"ABANDONNE";"Agent logiciel léger";"non détecté";"—";"commit a6747d1a6ccd";"https://github.com/smol-ai/developer";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2023-09-25";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"D — refusé";"REFUSE_ABANDONNE";"Aucune activité pertinente détectée depuis plus de 18 mois; à traiter comme miroir ou projet potentiellement abandonné.";"";""
"Skills & agents IA";"BerriAI/litellm";"BIBLIOTHEQUE";"Passerelle multi-modèles";"non détecté";"—";"commit d6f498ff5cef";"https://github.com/BerriAI/litellm";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"langfuse/langfuse";"APPLICATION";"Observabilité des applications LLM";"non détecté";"—";"commit 079904780f30";"https://github.com/langfuse/langfuse";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"promptfoo/promptfoo";"BIBLIOTHEQUE";"Tests de prompts et sécurité";"non détecté";"—";"commit fcde2e89a89d";"https://github.com/promptfoo/promptfoo";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"Arize-ai/phoenix";"BIBLIOTHEQUE";"Évaluation et observabilité IA";"non détecté";"—";"commit ec7aba56b9e0";"https://github.com/Arize-ai/phoenix";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"deepset-ai/haystack";"BIBLIOTHEQUE";"RAG et pipelines IA";"non détecté";"—";"commit 883c508049fa";"https://github.com/deepset-ai/haystack";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"microsoft/markitdown";"BIBLIOTHEQUE";"Conversion de fichiers vers Markdown";"non détecté";"—";"commit e144e0a2be95";"https://github.com/microsoft/markitdown";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-05-26";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"jina-ai/reader";"APPLICATION";"Extraction de pages web pour LLM";"non détecté";"—";"commit 1574bfd380d2";"https://github.com/jina-ai/reader";"Browser + recherche web contrôlée";"2026-05-22";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"ComposioHQ/composio";"BIBLIOTHEQUE";"Intégration d’outils pour agents";"non détecté";"—";"commit deac5d032d20";"https://github.com/ComposioHQ/composio";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"n8n-io/n8n";"APPLICATION";"Automatisation visuelle";"non détecté";"—";"commit 2b6a6a125a1d";"https://github.com/n8n-io/n8n";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"activepieces/activepieces";"APPLICATION";"Automatisation open source";"non détecté";"—";"commit 45c69ee6c1a3";"https://github.com/activepieces/activepieces";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Skills & agents IA";"FlowiseAI/Flowise";"APPLICATION";"Création visuelle de workflows LLM";"non détecté";"—";"commit 93c1abddd48c";"https://github.com/FlowiseAI/Flowise";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
