code;niveau;competence;theme;formulation;socle;chemin;nb_fichiers;sequence;qcm;projet;synthese;evaluation;correction;situation_declenchante;problematique;qualite;anomalies;accessibilite;medias_licences;croisement;statut;preuves_manquantes
5e_C3.3;5e;C3;1;Choisir un OST parmi plusieurs propositions en vue de répondre à un besoin.;D3, D4, D5;theme-1-objets-systemes-usages-interactions/C3-caracteriser-et-choisir-un-objet-ou-un/5e/5e_C3.3;1;oui;oui;non;oui;oui;oui;oui;oui;Traité par la séquence Shanghai du dossier 5e_C3.1 (séance 4 — filtrer selon un cahier des charges, puis choisir et argumenter).;Voir 5e_C3.1 : dossier principal du lot.;;;;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
5e_C3.4;5e;C3;1;Mesurer et comparer une performance d’un OST à partir d’un protocole fourni.;D1.3, D2, D4;theme-1-objets-systemes-usages-interactions/C3-caracteriser-et-choisir-un-objet-ou-un/5e/5e_C3.4;1;oui;oui;non;oui;oui;oui;oui;oui;Traité par la séquence Shanghai du dossier 5e_C3.1 (séance 3 — appliquer un protocole fourni et comparer des performances).;Voir 5e_C3.1 : dossier principal du lot.;;;;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
5e_C4.1;5e;C4;2;Associer des solutions techniques à une ou des fonctions techniques.;D2, D4, D5;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/5e/5e_C4.1;15;oui;oui;oui;oui;oui;oui;oui;oui;Séquence-îlot « Le lampadaire intelligent » (5 séances) couvrant les 8 codes 5e de la compétence C4 sur un objet-fil unique : fonctions/solutions + matériaux, chaîne d'énergie et natures, chaîne d'information avec simulateur interactif (verrou expérientiel : jour/nuit/nuit+passage), descripteurs et données (table des 6 lampadaires), réseau local et jeu du courrier débranché (prescription C4.8), réinvestissement sonnette connectée. Versions A/B/C, QCM 36 q dont 6 illustrées, synthèses, fiche, matrice, 3 SVG CC0, rapport de tests et deux suites rejouables — `tests_5e_C4.1-C4.8_qcm.mjs` (25/25) et `tests_5e_C4.1-C4.8_sequence.mjs` (30/30). Première entrée 5e du Thème 2, langue calibrée 12 ans.;"Quatre des huit codes n'ont que 4 questions DANS cette banque (C4.4, C4.5, C4.7, C4.8) : ils sont renforcés ailleurs, et le manifeste nomme la banque de renfort pour chacun (règle n°250). Les quatre autres — C4.1, C4.2, C4.3, C4.6 — n'étaient renforcés nulle part et sont passés à 5 le 31/08/2026, chacun sur une notion que la banque n'abordait pas. Les deux suites de tests sont livrées et rejouables (QCM 25/25, séquence 30/30) ; la seconde a trouvé un verrou expérientiel qui s'ouvrait d'un tiers au chargement de la page, corrigé le même jour (règle n°226).";Clavier, aria/alt, listes déroulantes (DYS), reduced-motion, impression A4, minuteur désactivable.;3 SVG originaux CC0 image-objet — SOURCES_MEDIAS.md complet.;;COMPLET ET VALIDABLE;
5e_C4.2;5e;C4;2;Identifier des constituants de la chaîne d’énergie d’un objet technique (l’organisation de la chaîne d’énergie étant fournie).;D1.3, D2, D4;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/5e/5e_C4.2;1;non;non;non;non;non;non;non;non;"README pointeur (activité 2 : chaîne d'énergie fournie à compléter ; 4 questions dédiées).";Aucune.;s.o.;s.o.;5e_C4.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
5e_C4.3;5e;C4;2;Indiquer la nature des énergies en entrée et en sortie des constituants de la chaîne d’énergie.;D1.3, D4;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/5e/5e_C4.3;1;non;non;non;non;non;non;non;non;"README pointeur (activité 2 : natures des énergies à chaque étape ; 4 questions dédiées).";Aucune.;s.o.;s.o.;5e_C4.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
5e_C4.4;5e;C4;2;Identifier les principaux matériaux constitutifs d’un OST.;D3, D4, D5;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/5e/5e_C4.4;1;non;non;non;non;non;non;non;non;"README pointeur (activité 1 : matériaux et critères de choix ; 4 questions dédiées).";Aucune.;s.o.;s.o.;5e_C4.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
5e_C4.5;5e;C4;2;Identifier des constituants de la chaîne d’information d’un OST (l’organisation de la chaîne d’information étant fournie).;D1.3, D2, D4;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/5e/5e_C4.5;1;non;non;non;non;non;non;non;non;"README pointeur (activité 3 : chaîne d'information + simulateur ; 4 questions dédiées).";Aucune.;s.o.;s.o.;5e_C4.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
5e_C4.6;5e;C4;2;Déterminer des descripteurs permettant de décrire des objets sous forme de données en précisant leurs types et leurs formats.;D1.3, D2, D4;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/5e/5e_C4.6;1;non;non;non;non;non;non;non;non;"README pointeur (activité 4 : descripteurs, types, formats ; 4 questions dédiées).";Aucune.;s.o.;s.o.;5e_C4.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
5e_C4.7;5e;C4;2;Identifier les composants qui constituent un réseau local (terminaux, commutateurs, liaisons filaires et sans fil (WiFi)) et sa topologie.;D2, D4;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/5e/5e_C4.7;20;oui;oui;oui;oui;oui;oui;oui;oui;"Atelier dédié « Le réseau de la salle techno » (3 séances) couvrant 5e_C4.7+C4.8 avec Cisco Packet Tracer 8.2 embarqué en pratique guidée : jeu du facteur débranché, lecture de topologie, construction complète du réseau (guide inclusif A→H, règle n°20, figures reconstituées d'après le vrai logiciel — 24 ports, triangles, SSID, module WPC300N), adressage IP par l'analogie de la rue, preuves ping/Simulation, panne du doublon, mini-simulateur d'enveloppe à verrou expérientiel, tablette et smartphone dans le montage. QCM 30 q (16/14, 6 illustrées, réponses 8/7/7/8), synthèses élève/professeur, fiche, matrice, 7 SVG CC0, fichier .pkt maître, cartouche CRCN 5.1 (règle n°7), rapport de tests. Approfondit les act. 5-6 du lampadaire (5e_C4.1) ; vocabulaire strictement 5e (masque/passerelle/routage exclus, réservés 4e/3e). RÉTROFIT AUDIT (08/08/2026) : billet d'entrée sans note + capsule de rattrapage, mode essentiel persistant, domaine 1 du socle explicité, CRCN 2.3 ajouté, encadré « premier ping : ne panique pas », valeurs dites réellement observées, version 🅰 en réseau ISOLÉ (TP 2 PC + commutateur dédié) — 24/24 tests dédiés.";Aucune.;Clavier + skip-link, aria/alt, listes déroulantes (DYS), reduced-motion (mini-simulateur compris), impression A4, minuteur QCM désactivable.;7 SVG originaux CC0 (reconstitutions fidèles Packet Tracer 8.2) + fichier .pkt maître — SOURCES_MEDIAS.md complet.;;COMPLET ET VALIDABLE;
5e_C4.8;5e;C4;2;Justifier la nécessité d’identifier les terminaux pour communiquer sur un réseau local (activité débranchée et vérification par un outil de simulation).;D2, D4;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/5e/5e_C4.8;1;non;non;non;non;non;non;non;non;"README pointeur vers l'atelier réseau mutualisé 5e_C4.7 (act. 1, 4, 5 : jeu du facteur, adressage, preuves par simulation ; 14 questions dédiées) ; l'activité 6 du lampadaire (5e_C4.1) reste la première rencontre.";Aucune.;s.o.;s.o.;5e_C4.7;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
5e_C5.1;5e;C5;2;Repérer visuellement une pièce défectueuse.;D1.3, D2, D4;theme-2-structure-fonctionnement-comportement/C5-identifier-un-dysfonctionnement-dun-objet/5e/5e_C5.1;14;oui;oui;oui;oui;oui;oui;oui;oui;Séquence « Dépanner le lampadaire » (3 séances) clôturant l'îlot 5e du Thème 2 sur l'objet-fil des LOTs 05/07 : inspection visuelle interactive (6 zones, verrou 6/6, symptôme vs cause, fausse piste du panneau sale), réparation au protocole fourni (simulateur pas à pas avec remise à zéro pédagogique, verrou : test final exigé), atelier de fabrication (4 postes, familles additif/enlèvement, sécurité atelier), réinvestissement vélo. Versions A/B/C, QCM 30 q (10/10/10, 3 illustrées, réponses réparties 8/7/7/8), synthèses, fiche, matrice, 3 SVG CC0, rapport 22/22. Règles d'or n°4 (blocs élève) appliquée. C4+C5+C6 de 5e complets : la 5e du Thème 2 est bouclée.;Aucune. Version A en très basse tension uniquement — le secteur est explicitement interdit.;Clavier, aria/alt, listes déroulantes exclusivement (DYS), reduced-motion, impression A4.;3 SVG originaux CC0 image-objet — SOURCES_MEDIAS.md complet.;;COMPLET ET VALIDABLE;
5e_C5.2;5e;C5;2;Réaliser une réparation en suivant un protocole fourni.;D2, D3, D4;theme-2-structure-fonctionnement-comportement/C5-identifier-un-dysfonctionnement-dun-objet/5e/5e_C5.2;1;non;non;non;non;non;non;non;non;"README pointeur (séance 2 : réparation au protocole, simulateur avec verrou ; 10 questions dédiées).";Aucune.;s.o.;s.o.;5e_C5.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
5e_C5.3;5e;C5;2;Découvrir les procédés de réalisation présents dans un atelier de fabrication collaboratif.;D2, D3, D4, D5;theme-2-structure-fonctionnement-comportement/C5-identifier-un-dysfonctionnement-dun-objet/5e/5e_C5.3;1;non;non;non;non;non;non;non;non;"README pointeur (séance 3 : atelier de fabrication, procédés et sécurité ; 10 questions dédiées).";Aucune.;s.o.;s.o.;5e_C5.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
5e_C6.1;5e;C6;2;Identifier les données utilisées et produites par le programme associé à une fonctionnalité d’un OST (à partir d’un programme existant).;D1.3, D2, D4;theme-2-structure-fonctionnement-comportement/C6-comprendre-et-modifier-un-programme-associe/5e/5e_C6.1;14;oui;oui;oui;oui;oui;oui;oui;oui;Séquence « Programmer le lampadaire » (3 séances) couvrant l'îlot 5e_C6 sur l'objet-fil du LOT 05 : carte d'identité du programme par blocs (données utilisées/produites/paramètres), traduction en algorithme en langage naturel (ordre + SI/ET/SINON), simulateur PARAMÉTRABLE avec mission mairie et verrou expérientiel (réglage d'origine testé puis réglage modifié vérifié). Versions A/B/C, QCM 30 q (10/10/10, 2 illustrées, réponses réparties), synthèses, fiche, matrice, 2 SVG CC0, rapport de tests. C4 et C6 de 5e désormais complets.;Aucune. Version A en très basse tension uniquement.;Clavier, aria/alt, listes déroulantes exclusivement (DYS), reduced-motion, impression A4.;2 SVG originaux CC0 image-objet — SOURCES_MEDIAS.md complet.;;COMPLET ET VALIDABLE;
5e_C6.2;5e;C6;2;Comprendre et traduire en un algorithme en langage naturel le programme associé à une fonctionnalité d’un OST.;D1.3, D4;theme-2-structure-fonctionnement-comportement/C6-comprendre-et-modifier-un-programme-associe/5e/5e_C6.2;1;non;non;non;non;non;non;non;non;"README pointeur (activité 2 : traduction en algorithme en langage naturel ; 10 questions dédiées).";Aucune.;s.o.;s.o.;5e_C6.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
5e_C6.3;5e;C6;2;Modifier les paramètres d’un programme et identifier ou évaluer ses effets en termes de fonctionnalité.;D1.3, D4;theme-2-structure-fonctionnement-comportement/C6-comprendre-et-modifier-un-programme-associe/5e/5e_C6.3;1;non;non;non;non;non;non;non;non;"README pointeur (activité 3 : paramètres, mission mairie, effets évalués ; 10 questions dédiées).";Aucune.;s.o.;s.o.;5e_C6.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
5e_C7.1;5e;C7;3;Suivre un processus de conception et de réalisation dans une durée, avec des tâches identifiées.;D2, D4, D5;theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/5e/5e_C7.1;14;non;non;non;non;non;non;non;non;;;;;;À VÉRIFIER PAR L’ENSEIGNANT;
5e_C7.2;5e;C7;3;Fabriquer une solution pour améliorer un OST existant.;D2, D3, D4;theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/5e/5e_C7.2;11;non;oui;non;oui;oui;oui;oui;oui;Lot « Le dé, en mieux » (Fable, 30/08/2026) — TP de réinvestissement de 40 min, QCM 30 questions toutes étiquetées 5e_C7.2, 2 synthèses, fiche, matrice de 11 groupes, lexique de 30 notions, modèle `calotte.py` et suite de 31 tests exécutés et verts. Le code n'était évalué NULLE PART, et il n'était pas vraiment enseigné non plus : le TP nº1 annonçait le geste sans l'écrire (« une calotte demanderait de soustraire une sphère, et ça, c'est un geste d'après »). L'élève reprend SON dé, garde la v1 comme témoin, remplace un creux à fond plat par une calotte creusée à la bille Ø20, mesure (Ø10,54 contre Ø10) et décide s'il généralise aux 21 points. Toutes les cotes des pages sont engendrées par le modèle.;"Reclassé par contrôle : le dossier ne porte pas séquence. Le geste est porté ailleurs (voir « atelier CAO — TP nº1 bis « Le dé, en mieux » »). Les gestes Onshape (plan décalé, primitive Sphère en mode Retirer) sont décrits d'après la documentation et NON constatés sur poste : à dérouler une fois en salle avant de donner le TP. Cinq paliers sur huit n'ont pas d'image de résultat (règle n°77) ; seul le dessin de coupe existe, et il est original. Aucun parcours hors connexion pour le geste — exception assumée à la règle de conception n°5, annoncée en tête du TP.";Vérifiée : aucune boîte modale, SVG avec title et desc, corrections dépliables, deux synthèses séparées, lexique imprimable, hors ligne intégral pour tout ce qui évalue.;1 SVG original CC0 engendré par `calotte.py` — la coupe comparée des deux creux, avec la bille en pointillés et la hauteur de son centre.;atelier CAO — TP nº1 bis « Le dé, en mieux »;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;séquence
5e_C7.3;5e;C7;3;Choisir un matériau parmi plusieurs proposés en fonction de leurs caractéristiques.;D3, D4, D5;theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/5e/5e_C7.3;14;oui;oui;non;oui;oui;oui;oui;oui;Lot « Le banc de la cour » : 2 seances de 55 min pour 95 min d'activites, BANC DES MATERIAUX original integre a la page — il ne note pas, ne pondere pas et ne conseille pas : il ELIMINE, et il dit sur quel critere. Six candidats, cinq exigences, deux retenus. Le geste qui porte la seance est l'activite 2 : RETIRER une exigence et voir le nombre de retenus changer (regle d'or n°213) — sans « temperature au soleil », le PVC entre a cent euros de moins, et c'est exactement le critere qu'on n'a pas le droit de retirer. Deux verrous experientiels (evaluer, retirer un critere). Toutes les valeurs — masses, couts, verdicts — sont CALCULEES par materiaux.py, livre dans le dossier : aucun nombre recopie a la main. QCM 30 q / 90 refutations (C7.3 x20, C4.4 x10), lexique 30 notions, deux syntheses, fiche, matrice de 30 notions engendree depuis la banque et associee par NOM et non par position, tests reels 41/41 et 32/32, scripts livres.;Les valeurs sont des ordres de grandeur d'usage pedagogique, tirees de plages courantes en construction — c'est le CLASSEMENT qui doit etre juste, pas la troisieme decimale, et la sequence le dit. Aucune mesure n'est faite par l'eleve : la version A releve les temperatures au thermometre infrarouge sur six chutes de materiau, et ce sont ces releves qui font foi. Le banc ne pondere pas et ne note pas — c'est un choix, pas une limite technique. La provenance et l'energie de fabrication n'ont pas de colonne : elles sont nommees dans la correction de l'activite 3, sans etre chiffrees.;Listes deroulantes, corrections depliables, version C entierement debranchee (six fiches cartonnees et cinq bandes d'exigences qu'on pose ou qu'on retire), encadre climat verifie par un test. Aucune boite modale : les messages passent par un bandeau aria-live (regle d'or n°188).;Banc des materiaux original (HTML + JS, CC0). Aucun media tiers.;;COMPLET ET VALIDABLE;
