notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Deux familles de pannes (adressage / liaison);4e_C4.8;Act. 4 + Act. 5 (comparaison);Relevés e4_5 et e5_2;Synthèse §4;5;oui;couvert
La panne « liaison coupée » (triangles rouges, Port Status);4e_C4.8;Act. 5 (cas réel n°2);Relevés e5_1 et e5_3;Synthèse §4;6;oui;couvert
Le re-test obligatoire;4e_C4.8;Act. 4 (étape REMÈDE) + Act. 5;Choix du remède complet;Synthèse §4;7;oui;couvert
Temps de ping normaux vs perte (santé du réseau);4e_C4.8;Act. 3 (mesures réelles 0-12 ms);Relevé e3_3;Synthèse §2;8;oui;couvert
Doublon (5e) vs mauvaise rue (4e) — famille adressage;4e_C4.8;Act. 4 (erreurs fréquentes);Comparaison en correction;Synthèse §4;10;oui;couvert
Mode Realtime vs mode Simulation;4e_C4.9;Act. 5 recette de validation;Choix e5 + manipulation 🅱;Synthèse §3;1;oui;couvert
Compléter (pas reconstruire) le fichier fourni;4e_C4.9;Act. 5 (contrat du code);Ajout du PDU au fichier fourni;Synthèse §3;2;oui;couvert
L'outil Add Simple PDU (expéditeur → destinataire);4e_C4.9;Act. 5 recette étapes 3-4;Scénario créé;Synthèse §3;3;oui;couvert
Lire l'Event List (trajet horodaté);4e_C4.9;Act. 5 (figure simulation);Lecture du film du réseau;Synthèse §3;4;oui;couvert
Le verdict Successful (ce qu'il valide);4e_C4.9;Act. 5 étape 6;Relevé e5_5;Synthèse §3;5;oui;couvert
Trajet par le commutateur (étoile);4e_C4.9;Act. 5 (observation animée);Relevé e5_4;Synthèse §3;6;oui;couvert
La simulation comme outil de diagnostic (dernier arrêt);4e_C4.9;Act. 5 (correction + aide 2);Transfert clinique → simulation;Synthèse §3;7;oui;couvert
Sauvegarder le scénario (fichier rejouable);4e_C4.9;Act. 5 étape 6;Sauvegarde finale;Synthèse §3;8;oui;couvert
Valider un comportement (observé vs attendu);4e_C4.9;Act. 5 (définition du mot du programme);Relevé e5_5 + QCM;Synthèse §3;9;oui;couvert
Limites de la simulation (logique vs réel);4e_C4.9;Act. 5 (correction);Question de transfert;Synthèse §3;10;oui;couvert
Passeport réseau — diagnostic des acquis de 5e (sans note);4e_C4.7;Passeport (séance 1, 5 min) + capsule de rattrapage;5 réponses + orientation automatique;Synthèse §1;3;oui;couvert
La convention du .1 (usage, pas loi informatique);4e_C4.7;Act. 1 étape 3 (nuance explicite);Justification écrite du .1;Synthèse §1;5;oui;couvert
Le masque : « dans NOTRE réseau qui utilise 255.255.255.0 »;4e_C4.7;Act. 1 étape 4 (nuance explicite);Lecture nuancée du masque;Synthèse §1;4 et 9;oui;couvert
Passerelle prévue au plan mais non installée (ce que cela change);4e_C4.7;Act. 1 tableau d'adressage + act. 3;Lecture du tableau formel;Synthèse §1;2;oui;couvert
LA preuve du paramétrage : ping vers l'objet qu'on vient d'adresser;4e_C4.7;Act. 3 « preuve n°1 » + figure pt_ping_capteur_50;Relevé du ping 192.168.20.50 (4 Reply, 0% loss, TTL=128);Synthèse §2;1 et 8;oui;couvert
Le premier ping qui échoue : ne pas conclure trop vite;4e_C4.7;Act. 3 encadré « ne panique pas » (vécu en session);Relance du test avant diagnostic;Synthèse §2;8;oui;couvert
Réservation DHCP (fixe côté serveur) — approfondissement;4e_C4.7;Act. 3 approfondissement;Lecture seule (hors parcours obligatoire);Synthèse §2;-;oui;couvert
Choisir le matériel dans la palette (Network Devices / End Devices);4e_C4.8;Act. 2 + figure pt_palette_choisir_materiel;Montage réalisé;Synthèse §1;-;oui;couvert
Choisir le bon câble (droit) et le bon port (FastEthernet0);4e_C4.8;Act. 2 + figure pt_choisir_cable_fa0;Liaisons établies;Synthèse §1;6;oui;couvert
Triangles orange ~30 s = état de préparation, pas une panne;4e_C4.8;Act. 2 correction (reformulée);Observation avant diagnostic;Synthèse §4;6;oui;couvert
Renommer et enregistrer AVANT les pannes;4e_C4.8;Act. 2 + figure pt_renommer_enregistrer;Fichier serre_4X_NOM_Prenom.pkt;Synthèse §5;-;oui;couvert
Fichier de départ fourni (câblé, adresses vides);4e_C4.8;Act. 2 note binômes + 4e_serre_DEPART.pkt;Adressage à partir du fichier fourni;Synthèse §5;-;oui;couvert
Rédiger un diagnostic avec les phrases guidées;4e_C4.8;Act. 4 version étayée (J'observe / Je pense / Le test montre…);Diagnostic rédigé;Synthèse §4;2;oui;couvert
Famille de panne « masque » (255.255.255.240);4e_C4.8;Intervention réelle — 4e_serre_PANNE_C.pkt;Fiche d'intervention 6 lignes;Synthèse §4;4;oui;couvert
Fiche d'intervention en 6 lignes (le geste du professionnel);4e_C4.8;Intervention réelle (séance 3);Fiche rédigée sur un fichier PANNE;Synthèse §5;-;oui;couvert
Diagnostiquer un fichier en panne fourni (A, B ou C);4e_C4.8;Intervention réelle + évaluation pratique 10 min;Diagnostic + réparation + preuve du re-test;Synthèse §5;1 à 10;non (aucun corrigé publié);couvert
Choisir SEUL le test qui prouve une communication;4e_C4.9;Défi sans tutoriel (séance 4);Test choisi + justification écrite;Synthèse §3;5;oui;couvert
Bascule Realtime / Simulation et Add Simple PDU;4e_C4.9;Act. 5 + figure pt_realtime_simulation_pdu;PDU posé, Event List lue;Synthèse §3;2 et 6;oui;couvert
