retrait;etape;libelle_etape;duree_s;reprise_necessaire
16;identifier;présenter sa carte ou son téléphone;19;non
16;choisir;parcourir la liste des vélos disponibles;50;non
16;deverrouiller;attendre le déverrouillage du point d'ancrage;49;oui
16;partir;sortir le vélo de son ancrage;9;non
17;arriver;s'approcher de la borne et lire l'écran;9;non
17;identifier;présenter sa carte ou son téléphone;14;non
17;choisir;parcourir la liste des vélos disponibles;37;non
17;deverrouiller;attendre le déverrouillage du point d'ancrage;13;non
17;partir;sortir le vélo de son ancrage;17;non
18;arriver;s'approcher de la borne et lire l'écran;6;non
18;identifier;présenter sa carte ou son téléphone;19;non
18;choisir;parcourir la liste des vélos disponibles;61;non
18;deverrouiller;attendre le déverrouillage du point d'ancrage;6;non
18;partir;sortir le vélo de son ancrage;12;non
19;arriver;s'approcher de la borne et lire l'écran;8;non
19;identifier;présenter sa carte ou son téléphone;12;non
19;choisir;parcourir la liste des vélos disponibles;14;non
19;deverrouiller;attendre le déverrouillage du point d'ancrage;35;non
19;partir;sortir le vélo de son ancrage;9;non
20;arriver;s'approcher de la borne et lire l'écran;12;non
20;identifier;présenter sa carte ou son téléphone;14;non
20;choisir;parcourir la liste des vélos disponibles;19;non
20;deverrouiller;attendre le déverrouillage du point d'ancrage;11;non
20;partir;sortir le vélo de son ancrage;12;non
21;arriver;s'approcher de la borne et lire l'écran;9;non
21;identifier;présenter sa carte ou son téléphone;3;non
21;choisir;parcourir la liste des vélos disponibles;46;non
21;deverrouiller;attendre le déverrouillage du point d'ancrage;33;non
21;partir;sortir le vélo de son ancrage;10;non
22;arriver;s'approcher de la borne et lire l'écran;7;non
22;identifier;présenter sa carte ou son téléphone;13;non
22;choisir;parcourir la liste des vélos disponibles;53;non
22;deverrouiller;attendre le déverrouillage du point d'ancrage;4;non
22;partir;sortir le vélo de son ancrage;3;non
23;arriver;s'approcher de la borne et lire l'écran;3;non
23;identifier;présenter sa carte ou son téléphone;18;non
23;choisir;parcourir la liste des vélos disponibles;38;non
23;deverrouiller;attendre le déverrouillage du point d'ancrage;8;non
23;partir;sortir le vélo de son ancrage;16;non
24;arriver;s'approcher de la borne et lire l'écran;7;non
24;identifier;présenter sa carte ou son téléphone;13;non
24;choisir;parcourir la liste des vélos disponibles;42;non
24;deverrouiller;attendre le déverrouillage du point d'ancrage;37;oui
24;partir;sortir le vélo de son ancrage;14;non
25;arriver;s'approcher de la borne et lire l'écran;8;non
25;identifier;présenter sa carte ou son téléphone;16;non
25;choisir;parcourir la liste des vélos disponibles;30;non
25;deverrouiller;attendre le déverrouillage du point d'ancrage;5;non
25;partir;sortir le vélo de son ancrage;10;non
26;arriver;s'approcher de la borne et lire l'écran;8;non
26;identifier;présenter sa carte ou son téléphone;9;non
26;choisir;parcourir la liste des vélos disponibles;27;non
26;deverrouiller;attendre le déverrouillage du point d'ancrage;11;non
26;partir;sortir le vélo de son ancrage;12;non
27;arriver;s'approcher de la borne et lire l'écran;6;non
27;identifier;présenter sa carte ou son téléphone;19;non
27;choisir;parcourir la liste des vélos disponibles;54;non
27;deverrouiller;attendre le déverrouillage du point d'ancrage;13;non
27;partir;sortir le vélo de son ancrage;10;non
28;arriver;s'approcher de la borne et lire l'écran;7;non
28;identifier;présenter sa carte ou son téléphone;27;non
28;choisir;parcourir la liste des vélos disponibles;33;non
28;deverrouiller;attendre le déverrouillage du point d'ancrage;3;non
28;partir;sortir le vélo de son ancrage;9;non
29;arriver;s'approcher de la borne et lire l'écran;7;non
29;identifier;présenter sa carte ou son téléphone;14;non
29;choisir;parcourir la liste des vélos disponibles;41;non
29;deverrouiller;attendre le déverrouillage du point d'ancrage;34;non
29;partir;sortir le vélo de son ancrage;17;non
30;arriver;s'approcher de la borne et lire l'écran;3;non
30;identifier;présenter sa carte ou son téléphone;14;non
30;choisir;parcourir la liste des vélos disponibles;31;non
30;deverrouiller;attendre le déverrouillage du point d'ancrage;20;non
30;partir;sortir le vélo de son ancrage;20;non
