"catégorie du classeur";"dépôt initial";"type détecté";"niveau de risque";"décision";"justification";"alternative recommandée"
"GEII";"FastLED/FastLED";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"adafruit/Adafruit_Sensor";"ABANDONNE";"D — refusé";"REFUSE_ABANDONNE";"Aucune activité pertinente détectée depuis plus de 18 mois; à traiter comme miroir ou projet potentiellement abandonné.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"sparkfun/SparkFun_Sensor_Kit_Example_Code";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"ros2/ros2";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"PX4/PX4-Autopilot";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"ArduPilot/ardupilot";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"thiagoralves/OpenPLC_v3";"ABANDONNE";"D — refusé";"REFUSE_ABANDONNE";"Dépôt archivé ou README annonçant son remplacement; voir alternative recommandée.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"open62541/open62541";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"eclipse-milo/milo";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"node-red/node-red";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"grafana/grafana";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"influxdata/influxdb";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"eclipse-mosquitto/mosquitto";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"thingsboard/thingsboard";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"home-assistant/core";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"arendst/Tasmota";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"esphome/esphome";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"openhab/openhab-core";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"qelectrotech/qelectrotech-source-mirror";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"KiCad/kicad-source-mirror";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"LibrePCB/LibrePCB";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"ngspice/ngspice";"ABANDONNE";"D — refusé";"REFUSE_ABANDONNE";"Aucune activité pertinente détectée depuis plus de 18 mois; à traiter comme miroir ou projet potentiellement abandonné.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"sigrokproject/libsigrok";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"sigrokproject/pulseview";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"gnuradio/gnuradio";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"jgaeddert/liquid-dsp";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"verilator/verilator";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"YosysHQ/yosys";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"YosysHQ/nextpnr";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"cocotb/cocotb";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
